"id","name_en","name_ar","description_en","description_ar","type","start_year","end_year","url","min_zoom","max_zoom","bbox[0]","bbox[1]","bbox[2]","bbox[3]","scale","edit","attribution_en","attribution_ar","is_default","is_overlay","author[]","source[]","id_old"
"aerial2020","Satellite imagery, 2025","تصوير أقمار اصطناعيّة، 2025","A high resolution basemap of satellite and aerial imagery compiled by ESRI. The imagery data comes from a variety of providers, including open data from NASA, USGS, and others. It is color-corrected and blended together into a single raster tileset.","خريطة أساسيّة ذات دقّة عالية تحتوي على تَصوير جوي وتَصوير قمر اصطناعيّ قامت بتجميعه معهد أبحاث النظم البيئية. تم الحُصول على البيانات الصوريّة من عدّة مصادر منها: البيانات المفتوحة لدى الإدارة الوطنية للمِلاحة الجويّة والفضاء (ناسا) وهيئة المَسح الجُيولوجي الأمريكيّة وغيرها. تم تصحيح ألوان جميع الصوّر ودَمجها ضمن مجموعة نقطيّة واحدة.","raster","2025","","https://server.arcgisonline.com/arcgis/rest/services/World_Imagery/MapServer/tile/{z}/{y}/{x}?blankTile=false","","18","","","","","","","© ERSI World Imagery","","FALSE","FALSE","ESRI","ESRI","14"
"aerial1940","Aerial imagery, 1940s","تصوير جوّي، عَقد 1940","A layer compiled from black and white aerial photographs captured by the British military in the 1940s, collected and georeferenced by Shaul Holtzman. The images are color-corrected and merged together into a single raster tileset.","طَبقة مُركّبة من الصّور الجويّة بالأبيض والأسود التي التقطها الجيش البريطانيّ في الأربعينيات، جمعها وقام بتحديد المواقع الجغرافية لها شاؤول هولتزمان. تم تصحيح الألوان ودمجها معًا في مجموعة نقطيّة واحدة.","raster","1944","1948","https://cdn.jsdelivr.net/gh/bothness/pom-tiles@2d154a81c81c2647f74dd4ceee4b1bee66119e79/aerial1940s/{z}/{x}/{y}.png","","16","","","","","","","Royal Air Force, 1940s","","FALSE","FALSE","Royal Air Force","Hebrew University of Jerusalem","16"
"pal63k1870","Western Palestine, 1:63,000, 1870s","فلسطين الغربيّة، 1:63,000، عَقد 1870","This series of maps was commissioned by the Palestine Exploration Fund, a British society founded and financed by a group of Biblical archaeologists and clergymen ""for the purpose of investigating the Archaeology, Geography, manners, customs and culture, Geology and Natural History of the Holy Land."" The maps capture much of the territory that would later fall under the British Mandate of Palestine, as well as parts of present day Lebanon, Syria and Jordan. These maps are of particular interest today, since they offer the most comprehensive record of Palestine immediately before the Zionist colonization.","صَدرت هذه السلسلة من الخرائط بتَكليف من صُندوق استكشاف فلسطين، وهي جمعية بريطانيّة أسسها ويُموّلها مجموعة من عُلماء الآثار ورجال الدّين التوراتيين، ""لغَرض استكشاف الآثار والجغرافيا والعادات والتّقاليد والثّقافة والجيولوجيا والتّاريخ الطبيعيّ للأراضي المقدّسة"". تُغطي الخَرائط جزءًا كبيرًا من الأراضي التي وَقعت تحت الانتداب البريطانيّ على فلسطين فيما بعد، وتمتدّ إلى أجزاء من لبنان وسوريا والأردن حسب الحُدود المُعترف بها اليَوم. تَحظى هذه الخرائط بأهميّة خاصة اليوم، حيث توفّر السّجل الأشمل لفلسطين قَبل الاستعمار الصّهيوني مُباشرة.","raster","1872","1877","https://palopenmaps.org/tiles/pal63k-1880/{z}/{x}/{y}@2x.jpg","","15","35.3","33.166667","35.666667","33.416667","63360","","Palestine Exploration Fund, 1871-77","","FALSE","FALSE","Palestine Exploration Fund","David Rumsey Map Collection, National Library of Australia","11"
"pal20k1940","Palestine, 1:20,000, 1940s","فلسطين: 1:20,000، عقدَي 1940/","This uniquely detailed series of maps captures a large portion of mandate Palestine immediately before the Nakba. As a 'topo-cadastral' series, the sheets combine cadastral information--boundaries and names/numbers of land ownership parcels--with topographic information including contours, vegetation and human geography. There are sheets in this set dated from the early 1930s with updates up until the end of the British Mandate period, and a handful with Israeli overprints up to 1950.","تغطّي هذه السّلسلة من الخرائط شديدة التّفصيل جزءًا كبيرًا من مساحة فلسطين الانتدابيّة ما قَبل النّكبة مُباشرة. بصفتها سلسلة ""طوبو-مساحيّة"" تجمع الشّرائح ما بين المعلومات المساحيّة (مثل الحدود والأسماء وتَرقيم قطع أراضي المُلكيّة) مع البيانات الطبوغرافية مِثل الخُطوط الكنتوريّة والغطاء النباتي والجغرافيا البشريّة. تحتوي هذه المجموعة على خرائط تعود إلى أوائل الثلاثينيّات مع تَحديثات حتى نهاية الانتداب البريطاني، بالإضافة إلى تَعديلات إسرائيليّة حتى عام 1950.","raster","1928","1947","https://palopenmaps.org/tiles/pal20k-1940s/{z}/{x}/{y}.jpg","","16","34.1366862","31.21730795","35.74709145","33.29443008","20000","","Survey of Palestine, 1942-48","","TRUE","FALSE","Survey of Palestine","National Library of Israel","9"
"pal100k1950","Palestine, 1:100,000, 1940s/50s","فلسطين: 1:10,0000، عقدَي 1940/50","This series of maps offers a unique record of the rapid transformation of the territory between the end of the 1940s and the end of the 1950s. The sheets were originally drawn by the Survey of Palestine in the final years of the British mandate period, and then overprinted with purple amendments by the nascent Survey of Israel a decade later, recording the destruction of hundreds of Palestinian communities (each labelled with the Hebrew word הרוס, meaning 'destroyed'), and the foundation of as many new Jewish settlements on their lands. The Israeli revisions also saw the addition of the 1949 Armistice lines (or 'green line') demarcating the West Bank and Gaza Strip.","توثّق هذه السلسلة بشكل فريد التّغيير السريع الّذي طرأ على المَنطقة مَع نهاية الأربعينات وحتى نهاية الخمسينات. رُسمت الخرائط الأصلية من قِبل مشروع مَسح فلسطين في السّنوات الأخيرة من الانتداب البريطاني على فلسطين. بعد عشر سنوات، أجريَت عليها تعديلات تظهر باللّون البنفسجيّ من قبل مشروع مَسح إسرائيل الّذي حلّ محل المشروع آنف الذّكر. توثّق التّعديلات الدّمار الّذي لَحِق بالقُرى الفلسطينيّة (حيث تعلو تلك القُرى كلمة הרוס بالعبريّة والّتي تعني ""مدمّرة""). كما توثّق إقامة أكبر عدد ممكن من المُستوطنات اليهودية على أنقاضها. كما شملت التّعديلات الإسرائيلية على خُطوط وقف إطلاق النّار (أو الخط الأخضر) كحدود للضّفة الغربية وقطاع غزّة.","raster","1941","1959","https://palopenmaps.org/tiles/pal100k-1950s/{z}/{x}/{y}.jpg","","15","34.18798455","30.94718327","35.69455613","33.49907516","100000","","Survey of Palestine, 1942-58","","FALSE","FALSE","Survey of Palestine","National Library of Israel","8"
"pal250k1946","Palestine, 1:250,000, 1946","فلسطين: 1:250,000، 1946","This set of 3 maps captures Palestine in its entirety just two years before the end of the British mandate period and the Palestinian Nakba. It is one of the few publicly available maps that captures the southern Beersheba district of the country in any detail during this period. However, though the 1945 Village Statistics record over 40,000 mostly Palestinian Bedouin residents of the district—described in the survey itself as a ""gross underestimation"" of the actual population—very few of their formal or informal settlements are marked on the map.","تصوّر هذه المجموعة المكوّنة من 3 خرائط فلسطين كاملةً قبل عاميَن فقط من نهاية الانتداب البريطاني ووقوع النّكبة. تعدّ هذه المجموعة أحد أهم الخرائط القَليلة المُتاحة لمنطقة بئر السّبع الجنوبيّة في تلك الفترة. بينما تسجّل إحصائيات القرى عام 1945 أكثر من 40000 بدويّا فلسطينيّا مُقيما في المنطقة، يؤكد الإحصاء نفسه أن ذلك الرّقم ليس إلا ""تقديرًا أقل من الواقع بكثير"" – وبالتّالي يظهر عدد محدود جدًا من أماكن عيشهم الرّسمية أو غير الرّسمية على الخريطة.","raster","1944","1946","https://palopenmaps.org/tiles/pal250k-1946/{z}/{x}/{y}.jpg","","14","34.24403925","29.50447774","35.74709145","33.29443008","250000","","Survey of Palestine, 1946","","FALSE","FALSE","Survey of Palestine","National Library of Israel","6"
"isr250k1951","Israel, 1:250,000, 1951","إسرائيل: 1:250,000، 1951","This set of 3 maps, titled 'Israel', was produced just 5 years after a near identical-looking British map in the same scale and format titled 'Palestine'. The physical geography is drawn from the same British surveys, but the major difference is the disappearance of hundreds of Palestinian communities and the appearance of a slew of new Jewish settlements in their place. The map was also among the first to be printed with the 1949 Armistice lines (or 'green line') demarcating the West Bank and Gaza Strip.","تم إنتاج هذه المجموعة المكوّنة من 3 خرائط تحت عنوان ""إسرائيل"" بعد 5 سنوات فقط من إنتاج خريطة بريطانيّة شبه مُطابقة بنفس المقياس والشّكل تحمِل عنوان ""فلسطين"". تم الاعتماد على الاستطلاعات البريطانيّة ذاتها لرسم الجغرافيا الطبيعية، إلّا أن الاختلاف الرئيسيّ كان اختفاء مئات التّجمعات الفلسطينية وظهور عَدد كبير من المُستوطنات اليهودية الجَديدة مكانها. كما تعدّ الخريطة إحدى أولى الخرائط الّتي شملت على خطوط الهُدنة لعام 1949 (أو ""الخط الأخضر"") كحدود للضّفة الغربية وقِطاع غزة.","raster","1951","","https://palopenmaps.org/tiles/isr250k-1951/{z}/{x}/{y}@2x.jpg","","14","34.24403925","29.50447774","35.96180927","33.29330798","250000","","Survey of Israel, 1951","","FALSE","FALSE","Survey of Israel","National Library of Israel","7"
"comb1940","Combined Maps, 1930s/40s","خرائط مركّبة، عقدَي 1930/40","This map layer displays different Survey of Palestine maps, depending on the zoom level. It includes all of the 1940s maps for 1:250,000, 1:100,000 and 1:20,000 scales, and includes more detailed maps from the 1930s and 1940s for the larger cities, including Jerusalem, Haifa and Jaffa (scales vary depending on the city, from 1:10,000 up to 1:1,000).","تعرض هذه الطبقة خرائط أخرى من خرائط مسح فلسطين بعدة مقاييس، بما في ذلك جميع خرائط الأربعينيات بمقياس 1: 25.000 و 1: 100.00 و 1: 20.000. كما تحتوي على خرائط أكثر تفصيلاً من ثلاثينيات وأربعينيات القرن العشرين في المُدن الكُبرى، بما في ذلك القدس وحيفا ويافا (تختلف المقاييس حسب المدينة، من 1: 10000 حتى 1: 1000).","raster","1929","1948","https://palopenmaps.org/tiles/pal-1940s/{z}/{x}/{y}.jpg","","18","34.20552697","29.2157856","36.126212","33.65792996","","","Survey of Palestine, 1929-48","","FALSE","FALSE","Survey of Palestine","National Library of Israel","15"
"pal2020","Vector overlay, 2025","طَبقات مُتّجهة، 2025","Present day geographic features derived from OpenStreetMap, Wikidata and Natural Earth. Vector tiles generated using OpenMapTiles tools.","تم الاعتماد على عدة مصادر في رسم الخصائص الجغرافية المعاصرة مثل: OpenStreetMap, Wikidata, Natural Earth. وتم إعداد الرّسوم المتّجهة من خلال أداة OpenMapTiles.","vector","2025","","https://tiler-osm.palopenmaps.org/maps/osm/{z}/{x}/{y}.pbf","","14","","","","","","","OpenMapTiles / OpenStreetMap Contributors","","FALSE","TRUE","OpenStreetMap contributors","OpenStreetMap",""
"pal1940","Vector overlay, 1940s","طَبقات مُتّجهة، عَقد 1940","Crowd-sourced digitisation of ""Palestine 1:20,000"" Survey of Palestine map series from the 1940s. Vector tiles generated using OpenMapTiles tools.","تمت رقمنة خريطة ""Palestine 1:20000"" ضمن خرائط مَسح فلسطين لعقد 1940 بدعم من مصادر جماهيرية . تم إعداد الرّسوم المتّجهة من خلال أداة OpenMapTiles.","vector","1947","","https://tiler.palopenmaps.org/maps/osm/{z}/{x}/{y}.pbf","","14","","","","","","c&map=","Palestine Open Maps community","","TRUE","TRUE","Palestine Open Maps community","Palestine Open Maps",""
